瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),SPI-3
90,加檬,Jan-86,-2.5,44,58.3,NaN
90,加檬,Feb-86,-2,47,25.4,NaN
90,加檬,Mar-86,3.2,66,28.6,NaN
90,加檬,Apr-86,10.3,54,60.4,-0.76
90,加檬,May-86,15.1,66,23.1,-1.103
90,加檬,Jun-86,16.9,82,110.5,-0.622
90,加檬,Jul-86,19.5,83,180.7,-0.647
90,加檬,Aug-86,22.9,80,474.6,0.526
90,加檬,Sep-86,18.5,78,188,0.473
90,加檬,Oct-86,12.6,68,169.2,1.11
90,加檬,Nov-86,7.7,48,10.8,-0.004
90,加檬,Dec-86,4.2,56,49,0.258
90,加檬,Jan-87,0.2,46,14.4,-0.862
90,加檬,Feb-87,1.6,52,95,0.495
90,加檬,Mar-87,4.6,61,63.5,0.433
90,加檬,Apr-87,11.3,58,48.5,0.555
90,加檬,May-87,17.1,62,95.3,0.126
90,加檬,Jun-87,20,77,123.9,0.135
90,加檬,Jul-87,23.5,77,207.3,0.027
90,加檬,Aug-87,22.3,86,383.8,0.315
90,加檬,Sep-87,18.8,75,55.9,-0.386
90,加檬,Oct-87,15.5,70,63.5,-0.368
90,加檬,Nov-87,8.1,66,130.9,-0.788
90,加檬,Dec-87,3.9,48,8.9,0.079
90,加檬,Jan-88,1.1,47,4.5,-0.009
90,加檬,Feb-88,-0.4,52,52.7,-0.768
90,加檬,Mar-88,4.6,55,38,-0.805
90,加檬,Apr-88,12.7,53,14.7,-0.923
90,加檬,May-88,16.9,63,50.9,-1.244
90,加檬,Jun-88,19.5,79,75.6,-1.298
90,加檬,Jul-88,21.3,85,202.1,-0.552
90,加檬,Aug-88,24.4,80,84.2,-1.414
90,加檬,Sep-88,20.1,75,308.5,-0.636
90,加檬,Oct-88,15.8,57,56.2,-0.661
90,加檬,Nov-88,7.9,43,39.8,0.216
90,加檬,Dec-88,3.5,42,0.7,-0.841
90,加檬,Jan-89,1.5,71,165.9,0.53
90,加檬,Feb-89,2.7,72,65.3,1.172
90,加檬,Mar-89,5.9,74,121.7,2.288
90,加檬,Apr-89,12.4,68,6.2,0.388
90,加檬,May-89,16.5,71,66.8,-0.011
90,加檬,Jun-89,17.9,83,109.9,-0.753
90,加檬,Jul-89,21,90,221.2,-0.132
90,加檬,Aug-89,22.7,86,277.7,-0.158
90,加檬,Sep-89,19.4,81,156.4,-0.347
90,加檬,Oct-89,14.4,67,163,0.102
90,加檬,Nov-89,8,59,123,0.433
90,加檬,Dec-89,3.5,56,103,1.165
90,加檬,Jan-90,-1.4,47,81.9,1.217
90,加檬,Feb-90,2.6,76,170.6,2.052
90,加檬,Mar-90,6.9,66,86.8,2.173
90,加檬,Apr-90,10.5,67,120.4,2.192
90,加檬,May-90,16.1,72,79.8,0.883
90,加檬,Jun-90,19.2,82,236.6,1.457
90,加檬,Jul-90,21.4,92,262.8,0.775
90,加檬,Aug-90,24.7,86,110.5,-0.153
90,加檬,Sep-90,19.3,84,596.4,0.965
90,加檬,Oct-90,15.1,72,90.6,0.975
90,加檬,Nov-90,11.1,68,143.6,2.205
90,加檬,Dec-90,3.1,53,31.7,0.494
90,加檬,Jan-91,-0.7,57,18.2,0.428
90,加檬,Feb-91,0,58,25.3,-0.602
90,加檬,Mar-91,4.1,70,48.6,-0.868
90,加檬,Apr-91,10.8,65,36.7,-0.828
90,加檬,May-91,15.5,69,77.5,-0.386
90,加檬,Jun-91,21.1,76,15.2,-1.473
90,加檬,Jul-91,23.3,82,250.7,-0.458
90,加檬,Aug-91,21.8,89,148.2,-1.141
90,加檬,Sep-91,19.9,85,129.4,-0.966
90,加檬,Oct-91,14.5,65,18.4,-1.525
90,加檬,Nov-91,8.6,55,14.6,-1.373
90,加檬,Dec-91,4,71,225.9,0.451
90,加檬,Jan-92,1.7,59,86.1,1.326
90,加檬,Feb-92,2.1,57,45.2,1.773
90,加檬,Mar-92,5.6,82,75.6,0.856
90,加檬,Apr-92,12,70,108.7,0.779
90,加檬,May-92,14.8,80,130.9,1.461
90,加檬,Jun-92,18.9,79,63.3,0.448
90,加檬,Jul-92,24.7,80,161,-0.367
90,加檬,Aug-92,22.3,88,403.7,-0.069
90,加檬,Sep-92,20.3,82,256.3,0.382
90,加檬,Oct-92,14.1,79,122.2,0.914
90,加檬,Nov-92,8.4,73,38.2,0.287
90,加檬,Dec-92,3.5,71,65.2,0.235
90,加檬,Jan-93,0.2,74,79,0.336
90,加檬,Feb-93,2.5,70,89.4,1.186
90,加檬,Mar-93,5.7,76,37.7,0.847
90,加檬,Apr-93,11,71,95.8,0.738
90,加檬,May-93,15.2,76,111.3,0.502
90,加檬,Jun-93,17.1,86,192.3,1.198
90,加檬,Jul-93,19.7,87,286.1,0.821
90,加檬,Aug-93,21.3,84,329.4,0.695
90,加檬,Sep-93,20.2,74,46.4,-0.316
90,加檬,Oct-93,14.2,64,16,-0.983
90,加檬,Nov-93,9.8,67,106.4,-1.337
90,加檬,Dec-93,2.6,55,15.5,-0.444
90,加檬,Jan-94,0.5,61,71.7,0.429
90,加檬,Feb-94,1.7,63,43.4,0.185
90,加檬,Mar-94,4.6,62,4.2,-0.365
90,加檬,Apr-94,11.8,70,25.3,-1.608
90,加檬,May-94,17.2,64,94.8,-0.912
90,加檬,Jun-94,19.4,80,69.3,-0.676
