일시,Precip_2,Precip_MA_3,AVG_RH,SPI-3
1986-03-01,58.3,112.3,66,0.0
1986-04-01,25.4,114.4,54,-0.76
1986-05-01,28.6,112.1,66,-1.103
1986-06-01,60.4,194.0,82,-0.622
1986-07-01,23.1,314.29999999999995,83,-0.647
1986-08-01,110.5,765.8,80,0.526
1986-09-01,180.7,843.3,78,0.473
1986-10-01,474.6,831.8,68,1.11
1986-11-01,188.0,368.0,48,-0.004
1986-12-01,169.2,229.0,56,0.258
1987-01-01,10.8,74.2,46,-0.862
1987-02-01,49.0,158.4,52,0.495
1987-03-01,14.4,172.9,61,0.433
1987-04-01,95.0,207.0,58,0.555
1987-05-01,63.5,207.3,62,0.126
1987-06-01,48.5,267.7,77,0.135
1987-07-01,95.3,426.5,77,0.027
1987-08-01,123.9,715.0,86,0.315
1987-09-01,207.3,647.0,75,-0.386
1987-10-01,383.8,503.2,70,-0.368
1987-11-01,55.9,250.3,66,-0.788
1987-12-01,63.5,203.3,48,0.079
1988-01-01,130.9,144.3,47,-0.009
1988-02-01,8.9,66.1,52,-0.768
1988-03-01,4.5,95.2,55,-0.805
1988-04-01,52.7,105.4,53,-0.923
1988-05-01,38.0,103.6,63,-1.244
1988-06-01,14.7,141.2,79,-1.298
1988-07-01,50.9,328.59999999999997,85,-0.552
1988-08-01,75.6,361.90000000000003,80,-1.414
1988-09-01,202.1,594.8,75,-0.636
1988-10-01,84.2,448.90000000000003,57,-0.661
1988-11-01,308.5,404.50000000000006,43,0.216
1988-12-01,56.2,96.70000000000006,42,-0.841
1989-01-01,39.8,206.40000000000006,71,0.53
1989-02-01,0.7,231.9000000000001,72,1.172
1989-03-01,165.9,352.9000000000001,74,2.288
1989-04-01,65.3,193.20000000000005,68,0.388
1989-05-01,121.7,194.70000000000005,71,-0.011
1989-06-01,6.2,182.90000000000006,83,-0.753
1989-07-01,66.8,397.9000000000001,90,-0.132
1989-08-01,109.9,608.8,86,-0.158
1989-09-01,221.2,655.3000000000001,81,-0.347
1989-10-01,277.7,597.1,67,0.102
1989-11-01,156.4,442.4000000000001,59,0.433
1989-12-01,163.0,389.0000000000001,56,1.165
1990-01-01,123.0,307.9000000000001,47,1.217
1990-02-01,103.0,355.50000000000006,76,2.052
1990-03-01,81.9,339.30000000000007,66,2.173
1990-04-01,170.6,377.80000000000007,67,2.192
1990-05-01,86.8,287.00000000000006,72,0.883
1990-06-01,120.4,436.80000000000007,82,1.457
1990-07-01,79.8,579.2,92,0.775
1990-08-01,236.6,609.9000000000001,86,-0.153
1990-09-01,262.8,969.6999999999999,84,0.965
1990-10-01,110.5,797.5,72,0.975
1990-11-01,596.4,830.5999999999999,68,2.205
1990-12-01,90.6,265.9,53,0.494
1991-01-01,143.6,193.5,57,0.428
1991-02-01,31.7,75.2,58,-0.602
1991-03-01,18.2,92.1,70,-0.868
1991-04-01,25.3,110.60000000000001,65,-0.828
1991-05-01,48.6,162.8,69,-0.386
1991-06-01,36.7,129.4,76,-1.473
1991-07-01,77.5,343.4,82,-0.458
1991-08-01,15.2,414.09999999999997,89,-1.141
1991-09-01,250.7,528.3,85,-0.966
1991-10-01,148.2,296.0,65,-1.525
1991-11-01,129.4,162.4,55,-1.373
1991-12-01,18.4,258.9,71,0.451
1992-01-01,14.6,326.6,59,1.326
1992-02-01,225.9,357.20000000000005,57,1.773
1992-03-01,86.1,206.89999999999998,82,0.856
1992-04-01,45.2,229.5,70,0.779
1992-05-01,75.6,315.20000000000005,80,1.461
1992-06-01,108.7,302.9,79,0.448
1992-07-01,130.9,355.2,80,-0.367
1992-08-01,63.3,628.0,88,-0.069
1992-09-01,161.0,821.0,82,0.382
1992-10-01,403.7,782.2,79,0.914
1992-11-01,256.3,416.69999999999993,73,0.287
1992-12-01,122.2,225.59999999999997,71,0.235
1993-01-01,38.2,182.39999999999995,74,0.336
1993-02-01,65.2,233.59999999999994,70,1.186
1993-03-01,79.0,206.09999999999997,76,0.847
1993-04-01,89.4,222.89999999999995,71,0.738
1993-05-01,37.7,244.79999999999995,76,0.502
1993-06-01,95.8,399.4,86,1.198
1993-07-01,111.3,589.7,87,0.821
1993-08-01,192.3,807.8,84,0.695
1993-09-01,286.1,661.9,74,-0.316
1993-10-01,329.4,391.7999999999999,64,-0.983
1993-11-01,46.4,168.79999999999995,67,-1.337
1993-12-01,16.0,137.89999999999995,55,-0.444
